alpha,level_1,GMR,Gini,Avg. NDCG@10,Job AHQ,User AHQ,Avg. User-side Rank,Avg. Job-side Rank,MJVD,Runtime,gini_evo,fairness_user.top_rate,fairness_user.bot_rate,fairness_user.top_ndcg,fairness_user.bot_ndcg,fairness_user.top_ahq,fairness_user.bot_ahq,fairness_user.top_rank,fairness_user.bot_rank,fairness_job.top_fill,fairness_job.bot_fill,fairness_job.top_ahq,fairness_job.bot_ahq,fairness_job.top_rank,fairness_job.bot_rank
0.05,0,1.0,0.6266447368421052,0.5116149873677055,0.8139254100212275,0.8139254100212275,7.62,2.58,0.2547951327939637,436.76459789276123,"[0.745, 0.7691082802547771, 0.7127358490566038, 0.6818548387096774, 0.6735294117647059, 0.6524305555555555, 0.6429292929292929, 0.6344370860927152, 0.6266447368421052]",1.0,1.0,0.5537974285749652,0.7382004945703363,0.8639208805011827,0.8050626999423545,7.15,4.1,7.0,5.5,0.9835958299263721,0.6784694622799962,4.0,2.6363636363636362
0.05,1,1.0,0.5794573643410852,0.5299494203966173,0.8296969979218006,0.8296969979218006,7.0,2.87,0.23908061756929147,429.9194812774658,"[0.749, 0.7493506493506493, 0.6485436893203883, 0.637719298245614, 0.6061475409836066, 0.5936507936507937, 0.58515625, 0.5794573643410852]",1.0,1.0,0.4684492175343468,0.8517782560805998,0.8524986770291278,0.836441155583684,7.7,2.45,7.0,6.25,0.9793640971901005,0.719057739934945,4.0,2.6
0.05,2,0.98,0.6332020997375328,0.49445789262445805,0.8236095124577933,0.8236095124577933,7.642857142857143,3.2857142857142856,0.23667881605797325,456.02162679036456,"[0.8019999999999999, 0.826875, 0.7686363636363637, 0.7326415094339623, 0.7152317880794702, 0.6974474474474475, 0.66938202247191, 0.6478436657681941, 0.6362433862433863, 0.6332020997375328]",1.0,1.0,0.5582781909465354,0.925,0.8772985928998995,0.8232601984156386,6.5,1.85,5.75,5.5,0.9846351547374554,0.7204053169029302,3.739130434782609,3.590909090909091
0.05,3,0.99,0.6216621253405995,0.5348851600573971,0.8171497413865708,0.8171497413865708,7.5353535353535355,3.2222222222222223,0.23714368060267893,434.45849418640137,"[0.716, 0.7664473684210525, 0.7595477386934674, 0.7271428571428571, 0.7084507042253521, 0.6889240506329114, 0.6593841642228739, 0.6365168539325843, 0.6293388429752066, 0.6216621253405995]",1.0,0.95,0.598249122993516,0.5264919831412764,0.8427827833608734,0.7702569170343281,7.3,6.7368421052631575,7.0,6.75,0.9736476881126356,0.6936805731697154,4.0,3.4074074074074074
0.05,4,1.0,0.6196808510638298,0.5360790342709373,0.844179921342236,0.844179921342236,6.92,2.95,0.2326963049362528,426.9422690073649,"[0.7849999999999999, 0.7849999999999999, 0.7715962441314554, 0.7323308270676692, 0.7017799352750809, 0.6722222222222223, 0.6458677685950414, 0.627479892761394, 0.6196808510638298]",1.0,1.0,0.5075521521033679,0.9008891280402999,0.8714830839834642,0.8372374729373409,6.5,1.75,7.0,6.0,0.9743869283277551,0.752041201571303,3.7857142857142856,3.0833333333333335
0.1,0,0.99,0.6160777385159011,0.5431988465022503,0.8239015701108225,0.8239015701108225,6.909090909090909,2.707070707070707,0.25046261523117197,436.7177486419678,"[0.745, 0.7652866242038217, 0.6883886255924171, 0.6554166666666668, 0.6395752895752895, 0.6318518518518519, 0.626173285198556, 0.6151245551601423, 0.6156028368794326, 0.6160777385159011]",1.0,1.0,0.6299282650424024,0.7704640952416318,0.8872105441059324,0.8039426922510831,4.95,3.95,7.0,5.0,0.9835958299263721,0.6633919650946201,4.0,2.7
0.1,1,0.98,0.6192307692307693,0.5221026452423327,0.824756255328857,0.824756255328857,7.520408163265306,2.7244897959183674,0.23908061756929147,432.5070381164551,"[0.749, 0.7467532467532468, 0.6694174757281554, 0.6649572649572649, 0.663953488372093, 0.637410071942446, 0.6271626297577855, 0.6154237288135593, 0.6173400673400673, 0.6192307692307693]",1.0,1.0,0.4526759736950604,0.8517782560805998,0.8443230647846347,0.8395634180350147,8.3,2.3,7.0,6.75,0.9793640971901005,0.7112561571348641,4.0,2.111111111111111
0.1,2,0.96,0.6478082191780822,0.5232524667625917,0.8291281743101391,0.8291281743101391,7.364583333333333,3.28125,0.2366788160579732,425.67920684814453,"[0.8019999999999999, 0.82, 0.7605022831050228, 0.7278625954198473, 0.7093220338983051, 0.6900621118012422, 0.6634502923976608, 0.651412429378531, 0.6502777777777778, 0.6478082191780822]",1.0,1.0,0.5916115242798687,0.925,0.8853459685434663,0.8232601984156386,6.15,1.85,6.25,4.75,0.9843218475195783,0.7203308911017745,3.6,3.210526315789474
0.1,3,0.97,0.6575880758807588,0.5332904401515787,0.81904712637795,0.81904712637795,7.402061855670103,3.3092783505154637,0.23714368060267893,448.9050507545471,"[0.716, 0.7690789473684211, 0.7836683417085426, 0.7605691056910568, 0.7381118881118882, 0.7223270440251572, 0.6895348837209302, 0.6644846796657381, 0.6595890410958904, 0.6575880758807588]",1.0,1.0,0.5837958816776215,0.5008891280403,0.8390957168524679,0.769676894310083,7.65,6.7,7.0,6.5,0.9736476881126356,0.6957438470676867,4.0,3.269230769230769
0.1,4,1.0,0.6209762532981531,0.5587382326136072,0.8462981145639107,0.8462981145639107,6.42,2.88,0.2326963049362528,427.01947689056396,"[0.7849999999999999, 0.78125, 0.769718309859155, 0.7259398496240601, 0.6903225806451613, 0.6636627906976744, 0.637087912087912, 0.632258064516129, 0.626657824933687, 0.6209762532981531]",1.0,1.0,0.5251122415974148,0.9008891280402999,0.8731411653777528,0.8344413988080609,5.95,2.1,7.0,5.25,0.9743869283277551,0.7484021654132291,3.7857142857142856,2.4285714285714284
0.15,0,1.0,0.6195924764890283,0.5245988050364998,0.8160234555246183,0.8160234555246183,7.34,2.6,0.2547951327939637,503.60774993896484,"[0.745, 0.7678343949044586, 0.7225118483412322, 0.6985943775100402, 0.676978417266187, 0.6603678929765886, 0.6314696485623003, 0.6281645569620253, 0.6245283018867924, 0.6195924764890283]",1.0,1.0,0.6283959840360763,0.7532519943535354,0.880924334988707,0.8018336581265402,5.1,4.3,7.0,5.5,0.9835958299263721,0.675106287460147,4.0,2.272727272727273
0.15,1,1.0,0.56440329218107,0.5428234914843678,0.8307552207792971,0.8307552207792971,6.86,2.96,0.23908061756929147,488.00206184387207,"[0.749, 0.746103896103896, 0.641747572815534, 0.6151982378854626, 0.5776150627615062, 0.5690082644628098, 0.56440329218107]",1.0,1.0,0.4898289734121885,0.8684449227472664,0.8564760292592842,0.844358409898582,7.1,1.8,7.0,5.5,0.9793640971901005,0.7157128321919851,4.0,2.4545454545454546
0.15,2,0.97,0.6680592991913746,0.5160445275840863,0.8257678879409893,0.8257678879409893,7.65979381443299,3.1649484536082473,0.2331200151561553,459.0687155723572,"[0.8019999999999999, 0.829375, 0.7704545454545455, 0.7386792452830189, 0.7161129568106313, 0.701063829787234, 0.6835243553008595, 0.6710526315789475, 0.6690735694822888, 0.6680592991913746]",1.0,1.0,0.5916115242798687,0.9166666666666666,0.8847644089629716,0.8216451949414019,6.25,2.05,6.25,5.25,0.9843218475195783,0.71839273819009,3.6,2.857142857142857
0.15,3,0.97,0.65,0.5464825570837769,0.8219461341172258,0.8219461341172258,7.144329896907217,3.2783505154639174,0.23714368060267893,445.5887794494629,"[0.716, 0.7664473684210525, 0.7826633165829145, 0.758130081300813, 0.7335664335664336, 0.7138364779874214, 0.6854651162790698, 0.6605555555555556, 0.6535326086956521, 0.65]",1.0,0.85,0.5693426403617271,0.5665252796218505,0.8373910041243564,0.7732460448940335,7.75,6.352941176470588,7.0,6.25,0.9736476881126356,0.6983014701433032,4.0,3.32
0.15,4,0.98,0.6111825192802056,0.5577336398398142,0.8478586408507668,0.8478586408507668,6.469387755102041,2.857142857142857,0.2326963049362528,448.5419988632202,"[0.7849999999999999, 0.7887500000000001, 0.7686915887850467, 0.7252808988764045, 0.6901929260450161, 0.6616279069767442, 0.6341095890410959, 0.6235449735449736, 0.6094315245478036, 0.6111825192802056]",1.0,1.0,0.5242188187700345,0.8959997289944672,0.8758918916930248,0.8356701242400938,5.85,2.15,7.0,6.0,0.9743869283277551,0.753397560733822,3.7857142857142856,2.75
0.2,0,0.99,0.616887417218543,0.5460888103936646,0.8253152117524598,0.8253152117524598,6.898989898989899,2.717171717171717,0.2547951327939637,440.56546688079834,"[0.745, 0.7621019108280255, 0.7, 0.6694214876033058, 0.6337735849056604, 0.6373646209386281, 0.6395833333333333, 0.6217171717171717, 0.62, 0.616887417218543]",1.0,0.95,0.5897238497262173,0.7958008988691972,0.8820265313948472,0.8106191296488872,6.0,3.526315789473684,7.0,5.5,0.9835958299263721,0.679862770600745,4.0,2.5
