p_accept,level_1,GMR,Gini,Avg. NDCG@10,Job AHQ,User AHQ,Avg. User-side Rank,Avg. Job-side Rank,MJVD,Runtime,gini_evo,fairness_user.top_rate,fairness_user.bot_rate,fairness_user.top_ndcg,fairness_user.bot_ndcg,fairness_user.top_ahq,fairness_user.bot_ahq,fairness_user.top_rank,fairness_user.bot_rank,fairness_job.top_fill,fairness_job.bot_fill,fairness_job.top_ahq,fairness_job.bot_ahq,fairness_job.top_rank,fairness_job.bot_rank
0.1,0,0.72,0.8104887983706721,0.6348946440863339,0.8348399759444118,0.8348399759444118,6.638888888888889,2.5972222222222223,0.25046261523117197,402.8161394185034,"[0.745, 0.7792993630573248, 0.7892523364485982, 0.7985074626865671, 0.7943037974683544, 0.8028089887640449, 0.8051898734177214, 0.8067441860465117, 0.8086580086580086, 0.8104887983706721]",0.7,1.0,0.7142857142857143,0.75,0.9011328463846621,0.8030678273613123,5.642857142857143,4.25,7.0,5.0,0.9835958299263721,0.6735508157398964,4.0,2.2
0.1,1,0.71,0.8006198347107437,0.6773216577120552,0.8534908226774116,0.8534908226774116,5.633802816901408,2.6901408450704225,0.23947026496836085,406.303866704305,"[0.749, 0.787012987012987, 0.7913461538461538, 0.7906976744186046, 0.7907894736842105, 0.7908695652173913, 0.7979057591623037, 0.8010739856801908, 0.7980176211453744, 0.8006198347107437]",0.7,0.9,0.5714285714285714,0.9056127775368878,0.8756317882186109,0.8424888708150836,7.142857142857143,2.0,7.0,4.25,0.9793640971901005,0.7211149652082266,4.0,1.8823529411764706
0.1,2,0.75,0.8021839080459771,0.6876681595057472,0.8595957142475874,0.8595957142475874,5.28,3.2266666666666666,0.22857643352175736,408.730525970459,"[0.762, 0.8019480519480521, 0.805072463768116, 0.8007874015748031, 0.7901360544217686, 0.787308868501529, 0.7882022471910112, 0.7954308093994777, 0.796829268292683, 0.8021839080459771]",0.85,0.95,0.7362803299300968,0.9473684210526315,0.9160049572562836,0.8230681965392822,4.0588235294117645,1.9473684210526316,7.0,3.25,0.9838943399406935,0.723576257764054,3.7857142857142856,2.769230769230769
0.1,3,0.8,0.7346153846153847,0.6217882499292819,0.8312437171153342,0.8312437171153342,6.825,2.95,0.23827492793679603,402.3223831540063,"[0.716, 0.75, 0.7514778325123153, 0.7476, 0.7465753424657534, 0.7451515151515151, 0.7417808219178083, 0.7406329113924051, 0.7326603325415677, 0.7346153846153847]",0.85,0.8,0.6680121874769425,0.6075116337854922,0.8628815306221798,0.768331332621843,6.0588235294117645,6.6875,7.0,5.75,0.9736476881126356,0.6810167301031104,4.0,2.391304347826087
0.1,4,0.71,0.8104166666666666,0.7301117652637205,0.8813557056773853,0.8813557056773853,4.084507042253521,2.647887323943662,0.23165918557349655,404.4935385386149,"[0.746, 0.7831168831168831, 0.7975961538461538, 0.801923076923077, 0.8049019607843138, 0.805043227665706, 0.8079634464751958, 0.8109112709832134, 0.8099999999999999, 0.8104166666666666]",0.75,0.9,0.5085521016524601,0.9659362670685856,0.8625897534737743,0.853101767174975,6.6,1.2222222222222223,7.0,2.0,0.9801531151769537,0.7924362469676849,4.0,1.5
0.3,0,0.9,0.6962915601023018,0.5569296766044501,0.8234518862751017,0.8234518862751017,7.1,2.8777777777777778,0.25046261523117197,406.0561873696067,"[0.745, 0.7640127388535032, 0.7476525821596244, 0.7430501930501932, 0.7209030100334448, 0.7100609756097561, 0.7054285714285714, 0.6929347826086957, 0.6957894736842105, 0.6962915601023018]",0.95,0.9,0.6013067762332678,0.8429853640231086,0.8620653585613084,0.823267507976099,6.894736842105263,2.388888888888889,7.0,5.25,0.9835958299263721,0.6814221001032029,4.0,2.857142857142857
0.3,1,0.95,0.6900000000000001,0.5223549332723417,0.8272448436009345,0.8272448436009345,7.463157894736842,2.705263157894737,0.23792337669291933,412.90438175201416,"[0.749, 0.7792207792207793, 0.7514423076923077, 0.7375502008032129, 0.7269503546099291, 0.7249185667752442, 0.7083586626139817, 0.6991279069767442, 0.6901129943502825, 0.6900000000000001]",0.95,0.9,0.497125140966465,0.8898768089336665,0.8564241010251744,0.8417239487144768,7.2631578947368425,2.0555555555555554,7.0,6.25,0.9793640971901005,0.7169678732189873,4.0,2.44
0.3,2,0.77,0.7862559241706161,0.6822298049749553,0.8599895424150397,0.8599895424150397,5.220779220779221,3.142857142857143,0.2285764335217574,415.1829843935759,"[0.774, 0.8009554140127388, 0.7952380952380953, 0.77421875, 0.7656996587030717, 0.7616923076923078, 0.7679487179487179, 0.7715425531914895, 0.7793233082706766, 0.7862559241706161]",0.9,1.0,0.6755865789835347,0.925,0.9027602407716994,0.8217839564222154,5.333333333333333,2.0,7.0,3.0,0.9838943399406934,0.7344170712800472,3.5714285714285716,2.0
0.3,3,0.96,0.652710027100271,0.5491630269743872,0.8205314425262523,0.8205314425262523,7.364583333333333,2.9895833333333335,0.23714368060267893,398.62632751464844,"[0.716, 0.7473684210526316, 0.723134328358209, 0.7100823045267489, 0.697653429602888, 0.6804918032786885, 0.6759938837920489, 0.6749275362318841, 0.6641666666666667, 0.652710027100271]",1.0,0.95,0.6016062410330225,0.5205855167182026,0.8483634875324734,0.7658400015524572,6.9,7.052631578947368,7.0,6.75,0.9736476881126356,0.6929128778209983,4.0,2.7777777777777777
0.3,4,0.89,0.7137333333333333,0.615443567106664,0.8586701806209756,0.8586701806209756,5.651685393258427,2.438202247191011,0.2326963049362528,425.83160400390625,"[0.748, 0.7732258064516129, 0.7404306220095693, 0.7439271255060729, 0.7310714285714285, 0.7221311475409836, 0.715137614678899, 0.7142441860465116, 0.7186111111111111, 0.7137333333333333]",0.95,1.0,0.45581573509024476,0.8343941401449261,0.8610705720955849,0.8303115648877991,6.894736842105263,2.9,7.0,4.25,0.9799173292817758,0.7636561669794669,3.7857142857142856,1.588235294117647
0.5,0,0.99,0.6233118971061093,0.5296155758030113,0.8178312897459896,0.8178312897459896,7.292929292929293,2.7373737373737375,0.2547951327939637,400.8359909057617,"[0.745, 0.7614649681528662, 0.713679245283019, 0.6836, 0.6715328467153284, 0.6513698630136986, 0.635430463576159, 0.6271986970684039, 0.6222580645161291, 0.6233118971061093]",1.0,1.0,0.5875573416043103,0.7553297095812912,0.8622146001575486,0.8037989684065113,6.65,3.9,7.0,5.75,0.9835958299263721,0.6787364204071328,4.0,3.0434782608695654
0.5,1,0.98,0.6303571428571428,0.54482256030671,0.8330668322721072,0.8330668322721072,6.714285714285714,3.0408163265306123,0.23792337669291933,423.63297939300537,"[0.749, 0.7623376623376623, 0.6954106280193237, 0.6751063829787234, 0.6574803149606299, 0.6331460674157303, 0.6272058823529412, 0.6303636363636363, 0.6284172661870503, 0.6303571428571428]",1.0,0.95,0.5378658179227706,0.843041187410842,0.8685495239545219,0.8340929492866076,5.85,2.789473684210526,7.0,5.0,0.9793640971901005,0.722317274476727,4.0,2.5
